Date,SO2 Flux
10-Mar-21,1327
11-Mar-21,795
12-Mar-21,582
13-Mar-21,596
14-Mar-21,518
15-Mar-21,1216
16-Mar-21,689
17-Mar-21,605
18-Mar-21,754
19-Mar-21,603
20-Mar-21,830
21-Mar-21,1184
22-Mar-21,1013
23-Mar-21,813
24-Mar-21,1109
25-Mar-21,879
26-Mar-21,925
27-Mar-21,953
28-Mar-21,837
29-Mar-21,1073
30-Mar-21,1229
31-Mar-21,509
1-Apr-21,1670
2-Apr-21,1854
3-Apr-21,1216
4-Apr-21,1541
5-Apr-21,1198
6-Apr-21,1454
7-Apr-21,1602
8-Apr-21,1155
9-Apr-21,799
10-Apr-21,1932
11-Apr-21,1394
11-Apr-21,1394
15-Apr-21,1254
16-Apr-21,1544
17-Apr-21,1097
18-Apr-21,1759
19-Apr-21,1014
20-Apr-21,1866
21-Apr-21,2010
23-Apr-21,1256
24-Apr-21,1051
25-Apr-21,701
26-Apr-21,2272
27-Apr-21,2708
28-Apr-21,3191
29-Apr-21,1452
30-Apr-21,1918
1-May-21,1510
2-May-21,2305
3-May-21,1587
4-May-21,1554
5-May-21,1747
6-May-21,1506
7-May-21,1834
8-May-21,1992
9-May-21,2796
10-May-21,2325
11-May-21,3463
12-May-21,5179
13-May-21,2816
14-May-21,2578
15-May-21,2546
16-May-21,3758
17-May-21,2214
18-May-21,3256
19-May-21,3611
20-May-21,3051
21-May-21,3426
22-May-21,2811
23-May-21,3298
24-May-21,4317
25-May-21,1754
26-May-21,1263
27-May-21,5627
28-May-21,3248
29-May-21,3884
30-May-21,7576
31-May-21,2976
1-Jun-21,2782
4-Jun-21,1690
4-Jun-21,1690
5-Jun-21,1898
6-Jun-21,2338
7-Jun-21,3937
8-Jun-21,3074
9-Jun-21,1725
10-Jun-21,9911
11-Jun-21,4673
12-Jun-21,2009
13-Jun-21,4443
13-Jun-21,4443
14-Jun-21,5837
15-Jun-21,4821
16-Jun-21,4034
17-Jun-21,3871
18-Jun-21,3007
19-Jun-21,4691
20-Jun-21,5245
21-Jun-21,5604
22-Jun-21,4563
23-Jun-21,5129
24-Jun-21,3132
25-Jun-21,4821
25-Jun-21,4821
26-Jun-21,2284
27-Jun-21,4771
27-Jun-21,4771
28-Jun-21,14326
29-Jun-21,8382
30-Jun-21,6685
1-Jul-21,13287
2-Jul-21,10254
3-Jul-21,14699
4-Jul-21,22628
4-Jul-21,22628
5-Jul-21,5299
6-Jul-21,7560
7-Jul-21,11397
8-Jul-21,6095
9-Jul-21,4149
10-Jul-21,6488
