,Date Readings,Date,SO2
0,10-Mar-21 1327,10-Mar-21,1327
1,11-Mar-21 795,11-Mar-21,795
2,12-Mar-21 582,12-Mar-21,582
3,13-Mar-21 596,13-Mar-21,596
4,14-Mar-21 518,14-Mar-21,518
5,15-Mar-21 1216,15-Mar-21,1216
6,16-Mar-21 689,16-Mar-21,689
7,17-Mar-21 605,17-Mar-21,605
8,18-Mar-21 754,18-Mar-21,754
9,19-Mar-21 603,19-Mar-21,603
10,20-Mar-21 830,20-Mar-21,830
11,21-Mar-21 1184,21-Mar-21,1184
12,22-Mar-21 1013,22-Mar-21,1013
13,23-Mar-21 813,23-Mar-21,813
14,24-Mar-21 1109,24-Mar-21,1109
15,25-Mar-21 879,25-Mar-21,879
16,26-Mar-21 925,26-Mar-21,925
17,27-Mar-21 953,27-Mar-21,953
18,28-Mar-21 837,28-Mar-21,837
19,29-Mar-21 1073,29-Mar-21,1073
20,30-Mar-21 1229,30-Mar-21,1229
21,31-Mar-21 509,31-Mar-21,509
22,1-Apr-21 1670,1-Apr-21,1670
23,2-Apr-21 1854,2-Apr-21,1854
24,3-Apr-21 1216,3-Apr-21,1216
25,4-Apr-21 1541,4-Apr-21,1541
26,5-Apr-21 1198,5-Apr-21,1198
27,6-Apr-21 1454,6-Apr-21,1454
28,7-Apr-21 1602,7-Apr-21,1602
29,8-Apr-21 1155,8-Apr-21,1155
30,9-Apr-21 799,9-Apr-21,799
31,10-Apr-21 1932,10-Apr-21,1932
32,11-Apr-21 1394,11-Apr-21,1394
33,11-Apr-21 1394,11-Apr-21,1394
34,15-Apr-21 1254,15-Apr-21,1254
35,16-Apr-21 1544,16-Apr-21,1544
36,17-Apr-21 1097,17-Apr-21,1097
37,18-Apr-21 1759,18-Apr-21,1759
38,19-Apr-21 1014,19-Apr-21,1014
39,20-Apr-21 1866,20-Apr-21,1866
40,21-Apr-21 2010,21-Apr-21,2010
41,22-Apr-21 2,22-Apr-21,2
42,23-Apr-21 1256,23-Apr-21,1256
43,24-Apr-21 1051,24-Apr-21,1051
44,25-Apr-21 701,25-Apr-21,701
45,26-Apr-21 2272,26-Apr-21,2272
46,27-Apr-21 2708,27-Apr-21,2708
47,28-Apr-21 3191,28-Apr-21,3191
48,29-Apr-21 1452,29-Apr-21,1452
49,30-Apr-21 1918,30-Apr-21,1918
50,1-May-21 1510,1-May-21,1510
51,2-May-21 2305,2-May-21,2305
52,3-May-21 1587,3-May-21,1587
53,4-May-21 1554,4-May-21,1554
54,5-May-21 1747,5-May-21,1747
55,6-May-21 1506,6-May-21,1506
